Ответ сервера: Мёд собран. Количество мёда: 1, Пчёл-сборщиков: 1, Пчёл-охранников: 7
Ответ сервера: Пчела становится охранником. Количество мёда: 1, Пчёл-сборщиков: 0, Пчёл-охранников: 8
Ответ сервера: Мёд собран. Количество мёда: 2, Пчёл-сборщиков: 1, Пчёл-охранников: 7
Ответ сервера: Мёд собран. Количество мёда: 3, Пчёл-сборщиков: 2, Пчёл-охранников: 6
Ответ сервера: Мёд собран. Количество мёда: 4, Пчёл-сборщиков: 3, Пчёл-охранников: 5
Ответ сервера: Мёд собран. Количество мёда: 5, Пчёл-сборщиков: 4, Пчёл-охранников: 4
Ответ сервера: Мёд собран. Количество мёда: 6, Пчёл-сборщиков: 5, Пчёл-охранников: 3
Ответ сервера: Мёд собран. Количество мёда: 7, Пчёл-сборщиков: 6, Пчёл-охранников: 2
Ответ сервера: Мёд собран. Количество мёда: 8, Пчёл-сборщиков: 7, Пчёл-охранников: 1
Ответ сервера: Пчела становится охранником. Количество мёда: 8, Пчёл-сборщиков: 6, Пчёл-охранников: 2
Ответ сервера: Мёд собран. Количество мёда: 9, Пчёл-сборщиков: 7, Пчёл-охранников: 1
Ответ сервера: Пчела становится охранником. Количество мёда: 9, Пчёл-сборщиков: 6, Пчёл-охранников: 2
Ответ сервера: Мёд собран. Количество мёда: 10, Пчёл-сборщиков: 7, Пчёл-охранников: 1
Ответ сервера: Пчела становится охранником. Количество мёда: 10, Пчёл-сборщиков: 6, Пчёл-охранников: 2
Ответ сервера: Пчела становится охранником. Количество мёда: 10, Пчёл-сборщиков: 5, Пчёл-охранников: 3
Ответ сервера: Мёд собран. Количество мёда: 11, Пчёл-сборщиков: 6, Пчёл-охранников: 2
Ответ сервера: Мёд собран. Количество мёда: 12, Пчёл-сборщиков: 7, Пчёл-охранников: 1
Ответ сервера: Нельзя собрать мёд. Не хватает охранников.
Ответ сервера: Нельзя собрать мёд. Не хватает охранников.
Ответ сервера: Нельзя собрать мёд. Не хватает охранников.
Ответ сервера: Нельзя собрать мёд. Не хватает охранников.
Ответ сервера: Нельзя собрать мёд. Не хватает охранников.
Ответ сервера: Пчела становится охранником. Количество мёда: 12, Пчёл-сборщиков: 6, Пчёл-охранников: 2
Ответ сервера: Пчела становится охранником. Количество мёда: 12, Пчёл-сборщиков: 5, Пчёл-охранников: 3
Ответ сервера: Пчела становится охранником. Количество мёда: 12, Пчёл-сборщиков: 4, Пчёл-охранников: 4
Ответ сервера: Пчела становится охранником. Количество мёда: 12, Пчёл-сборщиков: 3, Пчёл-охранников: 5
Ответ сервера: Мёд собран. Количество мёда: 13, Пчёл-сборщиков: 4, Пчёл-охранников: 4
Ответ сервера: Мёд собран. Количество мёда: 14, Пчёл-сборщиков: 5, Пчёл-охранников: 3
Ответ сервера: Мёд собран. Количество мёда: 15, Пчёл-сборщиков: 6, Пчёл-охранников: 2
Ответ сервера: Мёд собран. Количество мёда: 16, Пчёл-сборщиков: 7, Пчёл-охранников: 1
Ответ сервера: Нельзя собрать мёд. Не хватает охранников.
Ответ сервера: Нельзя собрать мёд. Не хватает охранников.
Ответ сервера: Пчела становится охранником. Количество мёда: 0, Пчёл-сборщиков: 6, Пчёл-охранников: 2
Ответ сервера: Мёд собран. Количество мёда: 1, Пчёл-сборщиков: 7, Пчёл-охранников: 1
Ответ сервера: Пчела становится охранником. Количество мёда: 1, Пчёл-сборщиков: 6, Пчёл-охранников: 2
Ответ сервера: Пчела становится охранником. Количество мёда: 1, Пчёл-сборщиков: 5, Пчёл-охранников: 3
Ответ сервера: Мёд собран. Количество мёда: 2, Пчёл-сборщиков: 6, Пчёл-охранников: 2
Ответ сервера: Мёд собран. Количество мёда: 3, Пчёл-сборщиков: 7, Пчёл-охранников: 1
Ответ сервера: Пчела становится охранником. Количество мёда: 3, Пчёл-сборщиков: 6, Пчёл-охранников: 2
Ответ сервера: Пчела становится охранником. Количество мёда: 3, Пчёл-сборщиков: 5, Пчёл-охранников: 3
Ответ сервера: Мёд собран. Количество мёда: 4, Пчёл-сборщиков: 6, Пчёл-охранников: 2
Ответ сервера: Пчела становится охранником. Количество мёда: 4, Пчёл-сборщиков: 5, Пчёл-охранников: 3
Ответ сервера: Мёд собран. Количество мёда: 5, Пчёл-сборщиков: 6, Пчёл-охранников: 2
Ответ сервера: Мёд собран. Количество мёда: 6, Пчёл-сборщиков: 7, Пчёл-охранников: 1
