kallklokhet@plm2 10 % ./server 1 20

Мёд собран. Количество мёда: 1, Пчёл-сборщиков: 1, Пчёл-охранников: 19
Мёд собран. Количество мёда: 2, Пчёл-сборщиков: 2, Пчёл-охранников: 18
Мёд собран. Количество мёда: 3, Пчёл-сборщиков: 3, Пчёл-охранников: 17
Мёд собран. Количество мёда: 4, Пчёл-сборщиков: 4, Пчёл-охранников: 16
Пчела становится охранником. Количество мёда: 4, Пчёл-сборщиков: 3, Пчёл-охранников: 17
Пчела становится охранником. Количество мёда: 4, Пчёл-сборщиков: 2, Пчёл-охранников: 18
Мёд собран. Количество мёда: 5, Пчёл-сборщиков: 3, Пчёл-охранников: 17
Пчела становится охранником. Количество мёда: 5, Пчёл-сборщиков: 2, Пчёл-охранников: 18
Пчела становится охранником. Количество мёда: 5, Пчёл-сборщиков: 1, Пчёл-охранников: 19
Мёд собран. Количество мёда: 6, Пчёл-сборщиков: 2, Пчёл-охранников: 18
Мёд собран. Количество мёда: 7, Пчёл-сборщиков: 3, Пчёл-охранников: 17
Мёд собран. Количество мёда: 8, Пчёл-сборщиков: 4, Пчёл-охранников: 16
Пчела становится охранником. Количество мёда: 8, Пчёл-сборщиков: 3, Пчёл-охранников: 17
Мёд собран. Количество мёда: 9, Пчёл-сборщиков: 4, Пчёл-охранников: 16
Пчела становится охранником. Количество мёда: 9, Пчёл-сборщиков: 3, Пчёл-охранников: 17
Пчела становится охранником. Количество мёда: 9, Пчёл-сборщиков: 2, Пчёл-охранников: 18
Мёд собран. Количество мёда: 10, Пчёл-сборщиков: 3, Пчёл-охранников: 17
Мёд собран. Количество мёда: 11, Пчёл-сборщиков: 4, Пчёл-охранников: 16
Пчела становится охранником. Количество мёда: 11, Пчёл-сборщиков: 3, Пчёл-охранников: 17
Пчела становится охранником. Количество мёда: 11, Пчёл-сборщиков: 2, Пчёл-охранников: 18
Мёд собран. Количество мёда: 12, Пчёл-сборщиков: 3, Пчёл-охранников: 17
Мёд собран. Количество мёда: 13, Пчёл-сборщиков: 4, Пчёл-охранников: 16
Мёд собран. Количество мёда: 14, Пчёл-сборщиков: 5, Пчёл-охранников: 15
Мёд собран. Количество мёда: 15, Пчёл-сборщиков: 6, Пчёл-охранников: 14
Медведя укусили пчёлы. Количество мёда: 15, Пчёл-сборщиков: 6, Пчёл-охранников: 14
Мёд собран. Количество мёда: 16, Пчёл-сборщиков: 7, Пчёл-охранников: 13
Медведя укусили пчёлы. Количество мёда: 16, Пчёл-сборщиков: 7, Пчёл-охранников: 13
Мёд собран. Количество мёда: 17, Пчёл-сборщиков: 8, Пчёл-охранников: 12
Медведя укусили пчёлы. Количество мёда: 17, Пчёл-сборщиков: 8, Пчёл-охранников: 12
Пчела становится охранником. Количество мёда: 17, Пчёл-сборщиков: 7, Пчёл-охранников: 13
Медведя укусили пчёлы. Количество мёда: 17, Пчёл-сборщиков: 7, Пчёл-охранников: 13
Мёд собран. Количество мёда: 18, Пчёл-сборщиков: 8, Пчёл-охранников: 12
Медведя укусили пчёлы. Количество мёда: 18, Пчёл-сборщиков: 8, Пчёл-охранников: 12
Пчела становится охранником. Количество мёда: 18, Пчёл-сборщиков: 7, Пчёл-охранников: 13
Мёд собран. Количество мёда: 19, Пчёл-сборщиков: 8, Пчёл-охранников: 12
Мёд собран. Количество мёда: 20, Пчёл-сборщиков: 9, Пчёл-охранников: 11
Пчела становится охранником. Количество мёда: 20, Пчёл-сборщиков: 8, Пчёл-охранников: 12
Пчела становится охранником. Количество мёда: 20, Пчёл-сборщиков: 7, Пчёл-охранников: 13
Мёд собран. Количество мёда: 21, Пчёл-сборщиков: 8, Пчёл-охранников: 12
Медведя укусили пчёлы. Количество мёда: 21, Пчёл-сборщиков: 8, Пчёл-охранников: 12
Мёд собран. Количество мёда: 22, Пчёл-сборщиков: 9, Пчёл-охранников: 11
Медведя укусили пчёлы. Количество мёда: 22, Пчёл-сборщиков: 9, Пчёл-охранников: 11
Мёд собран. Количество мёда: 23, Пчёл-сборщиков: 10, Пчёл-охранников: 10
Медведя укусили пчёлы. Количество мёда: 23, Пчёл-сборщиков: 10, Пчёл-охранников: 10
Мёд собран. Количество мёда: 24, Пчёл-сборщиков: 11, Пчёл-охранников: 9
Медведя укусили пчёлы. Количество мёда: 24, Пчёл-сборщиков: 11, Пчёл-охранников: 9
Мёд собран. Количество мёда: 25, Пчёл-сборщиков: 12, Пчёл-охранников: 8
Медведя укусили пчёлы. Количество мёда: 25, Пчёл-сборщиков: 12, Пчёл-охранников: 8
Мёд собран. Количество мёда: 26, Пчёл-сборщиков: 13, Пчёл-охранников: 7
Медведя укусили пчёлы. Количество мёда: 26, Пчёл-сборщиков: 13, Пчёл-охранников: 7
Мёд собран. Количество мёда: 27, Пчёл-сборщиков: 14, Пчёл-охранников: 6
Медведя укусили пчёлы. Количество мёда: 27, Пчёл-сборщиков: 14, Пчёл-охранников: 6
Мёд собран. Количество мёда: 28, Пчёл-сборщиков: 15, Пчёл-охранников: 5
Медведя укусили пчёлы. Количество мёда: 28, Пчёл-сборщиков: 15, Пчёл-охранников: 5
Мёд собран. Количество мёда: 29, Пчёл-сборщиков: 16, Пчёл-охранников: 4
Медведя укусили пчёлы. Количество мёда: 29, Пчёл-сборщиков: 16, Пчёл-охранников: 4
^C
kallklokhet@plm2 10 %
